,id,show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,score,duration_int,duration_type
5225,as5226,s5226,movie,mohan kumar fans,jis joy,"kunchacko boban, siddique, mukesh, anarkali nazar, vinay forrt, sreenivasan, brother paulutty, asif ali, saiju kurup, ramesh pisharody, alencier",,,2021,nr,125 min,"comedy, drama","a talented veteran actor, mohan kumar, is back on the big screen through a critically acclaimed film. his path towards glory, however, isn't easy. his well-wishers from the industry and outside applaud his acting to no end, repeatedly stating that he deserves the state and national awards for this film. the movie shows how this episode opens his eyes to certain important facts in life.",22,125,min
5226,as5227,s5227,movie,major ajay krishna,anil ravipudi,"mahesh babu, rashmika mandanna, vijayashanti, prakash raj, rajendra prasad",india,,2020,nr,171 min,"action, comedy, drama","ajay krishnaact (mahesh babu) is an orphan and a soldier serving in kashmir. professor bharathi (vijayashanthi) is a righteous professor and single mother of three, with one son already lost during service. how ajay steps up when she's in trouble forms the crux of the story.",58,171,min
5227,as5228,s5228,movie,little baby bus - the giant ice cream & more cartoons for kids,moonbug entertainment,,,,2020,all,30 min,kids,"little baby bus is an animated online educational kids series brought to you by the creators of little baby bum. the adventures of the little red bus encourages learning, creativity and fun! learn colors, shapes and numbers with of our well-loved characters!",34,30,min
5228,as5229,s5229,movie,little baby bum - healthy habits & more nursery rhymes for kids,,,,,2020,all,34 min,kids,"little baby bum is a fun, educational children's nursery rhyme channel watched globally by kids. learn colors, shapes, numbers with some of our most well-loved characters! sing along to some of the most classic nursery rhymes such as 'bedtime routine', 'bath song', and more!",63,34,min
5229,as5230,s5230,movie,krishnan,anil ravipudi,"mahesh babu, rashmika mandanna, vijayashanti, prakash raj, rajendra prasad",india,,2020,13+,171 min,"action, comedy, drama","ajay krishnan (mahesh babu) is an orphan and a soldier serving in kashmir. professor bharathi (vijayashanthi) is a righteous professor and single mother of three, with one son already lost during service. how ajay steps up when she's in trouble forms the crux of the story.",11,171,min
5230,as5231,s5231,movie,kiiyii - miss polly had a dolly - valentines day nursery rhymes for kids,moonbug entertainment,,,,2020,all,29 min,kids,"a new collection of colorful and wonderfully engaging nursery rhymes and children's songs that will thrill your child while educating them in their numbers, abcs and general learning! from the creators of littlebabybum, kiiyii allows the child's imagination to go further!",35,29,min
5231,as5232,s5232,movie,josh blue: broccoli,brandon naughton,josh blue,,,2020,13+,65 min,"arts, entertainment, and culture, comedy","josh blue dives deep in his newest comedy special, broccoli, exploring the craziest of topics. from discussing the ghosts of the past, those in his home, and the future of his comedy, you will surely be rolling in laughter.",72,65,min
5232,as5233,s5233,movie,gecko's garage vol. 3,,,,,2019,all,55 min,"kids, special interest","come and have a fantastic time with your favourite pal gecko! this compilation of geckos garage includes ""trevor the tractor"" and many more!",73,55,min
5233,as5234,s5234,movie,dope fiend,ron elliot,"andra fuller, malik yoba, hisham tawfiq, tobias truvillion, marquise jackson",,,2017,18+,88 min,"drama, suspense","money, drugs and violence manipulate the lives of three warring families, forcing them to address their ills or face destruction.",60,88,min
5234,as5235,s5235,movie,as it happened: tarawa,ashley gething,stephen rasbrook,,,2020,13+,44 min,documentary,tarawa was the most strongly defended island in the pacific which the japanese boasted that a million americans couldn't take the island in one hundred years. on tarawa the marines faced their sternest test yet.,59,44,min
5235,as5236,s5236,movie,antardwand,sushil rajpal,"swati sen, akhilendra mishra, himanshi, raj singh chaudhary, vinay pathak",india,,2010,13+,104 min,"drama, international","groom abduction which is so rampant in bihar, eastern up is touched upon in antardwand. a peep into the reality that is a feudal india refusing to die, it’s a story where everybody involved pays a heavy price for the patriarchal power play. it’s a society rotting while the country surges ahead to be a global power. antardwand is a film that stokes the thinking viewer’s ire, concern and empathy.",21,104,min
5236,as5237,s5237,movie,an inconvenient truth,davis guggenheim,"al gore, billy west",,,2006,pg,97 min,"arthouse, documentary, special interest",this is a wake-up call that cuts through myths and misconceptions to deliver the message that global warming is a real and present danger. an inconvenient truth brings home gore's persuasive argument that we must act now to save the earth.,67,97,min
5237,as5238,s5238,movie,yeh dillagi,naresh malhotra,"kajol, akshay kumar, saif ali khan, deven verma, achyut potdar, reema lagoo, saeed jaffrey",india,,1994,all,154 min,"drama, international, romance","sapna (kajol) was a frequent visitor to the saigal mansion as her father was a trusted driver of the family. when she is reminded of her social status by the rich brat vicky saigal (saif ali khan), she leaves town to make something of herself. she returns as a successful model and vicky falls for her. the problem - his elder brother vijay (akshay kumar) is already in love with the same girl.",87,154,min
5238,as5239,s5239,movie,velaiilla pattadhari 2,soundarya rajnikanth,"dhanush, kajol, amala paul, samuthirakani",,,2017,all,120 min,"drama, international","a cool-headed crusader for the struggling engineers, dhanush (as raghuvaran) faces the powerful and arrogant owner of a construction company kajol (as vasundhara parameswaran), as they engage in a battle to win the corporate game.",14,120,min
5239,as5240,s5240,movie,tubelight,kabir khan,"salman khan, sohail khan, om puri, mohammed zeeshan ayyub, yashpal sharma, zhu zhu, matin rey tangu, brijendra kala, isha talwar, jason d'souza, matt kramer, neeraj khetarpal, kapil sharma","india, united states, united kingdom, canada, china",,2017,all,130 min,"drama, international","in a small picturesque town of north india, lives laxman with his younger brother bharat. laxman's world comes crashing down, when war breaks out and bharat gets drafted into the army. seeing the carnage around him and worried for his brother, the simple - minded laxman decides to stop this conflict and get his brother back. tubelight set in 1962 tells the story of one man's unshakeable belief.",26,130,min
5240,as5241,s5241,movie,theri,atlee kumar,"vijay, samantha ruth prabhu, amy jackson, baby nainika, prabhu, raadhika sarathkumar, rajendran, j.mahendran",india,,2016,all,150 min,"action, drama, international",joseph (vijay) lives in a small town of kerala. he lives with his 6-year old daughter (baby nainika as nivi) and his close ally rajendran. annie (amy jackson) is nivi's class teacher who develops an interest over joseph. this peaceful life of joseph is shaken when a group of local goons from kerala crosses path with him.,44,150,min
5241,as5242,s5242,movie,theeran adhigaaram ondru,h.vinoth,"karthi, rakul preet singh, bose venkat, sathyan, abimanyu singh",,,2017,13+,156 min,"action, international","theeran, a police officer is entrusted with the task to solve the mystery behind a series of murders and burglaries. the only clues left behind are the fingerprints of the culprits. how he solves the case, forms the crux.",26,156,min
5242,as5243,s5243,movie,the ghazi attack (hindi),sankalp,"rana daggubati, kay kay menon, atul kulkarni, tapsee pannu (in a special appearance), late om puri, nassar, rahul singh, milind gunaji",,,2017,13+,123 min,"drama, international","inspired by true events, the ghazi attack is india's first underwater war film. the story revolves around the events that unfolded right before the indo-pakistan war of 1971, when the pakistani submarine ghazi (asia's most powerful fast-attack submarine at the time) attempted to destroy the indian aircraft carrier vikrant.",66,123,min
5243,as5244,s5244,movie,tashan,vijay krishna acharya,"akshay kumar, anil kapoor, kareena kapoor, saif ali khan, yashpal sharma, sanjay mishra, manoj pahwa",india,,2008,16+,147 min,"action, international","a cool call center executive jimmy cliff (saif ali khan), a wannabe gangster bachchan pande (akshay kumar), a beautiful girl pooja (kareena kapoor) who can't be trusted, bhaiyyaji (anil kapoor) a gangster who enjoys killing people as much as he enjoys learning to speak english come together on a journey across india. a journey which will alter the course of their lives in more ways than one.",52,147,min
5244,as5245,s5245,movie,sketch,vijay chandar,"vikram, tamannaah, soori, baburaj, r.k. suresh",india,,2018,13+,131 min,"action, drama, international","a man who repossesses cars for a local loan shark makes the mistake of seizing a crazed gangster's prized possession, a vintage fiat.",53,131,min
5245,as5246,s5246,movie,silsila,yash chopra,"shashi kapoor, amitabh bachchan, jaya bhaduri, rekha, sushma seth, jagdish raj, kulbhushan kharbanda, deven verma, sanjeev kumar, pratima puri, ashok verma, manek, kimti anand, nirupama verma, damyanti puri, gauri shanker, raj babbar, shyam arora, ranvir raj, vikas anand, sharmila roy chowdhry, ravi dubey, sudha chopra",india,,1981,7+,180 min,"drama, international, romance","amit (amitabh bachchan) decides to bury his past life along with his love for chandni (rekha) when he meets shobha (jaya bachchan). shobha's life has come to a standstill after her fiance and amit’s brother shekhar (shashi kapoor) dies in a crash. when fate brings amit and chandni face to face again, both are married to different people - but neither can ignore their feelings for each other.",78,180,min
5246,as5247,s5247,movie,silence (malayalam),hemant madhukar,"anushka shetty, madhavan, anjali, michael madsen",,,2020,18+,126 min,suspense,a murder-mystery thriller. a world-famous cello player is murdered and crucified in a seattle villa that has a reputation for being haunted. his friends and family try to figure out if he was really killed by a supernatural being or if he was assassinated by someone he knows. his dumb and deaf wife and a police detective are pinned against each other as they discover the victim's dark past.,67,126,min
5247,as5248,s5248,movie,si 3,hari,"suriya, anushka shetty, shruthi hasan, soori, anoop singh thakur, neetu chandra, janaki ganesh, olamilekan akanbi jason, krish",india,,2017,all,152 min,"action, international","a reputed cop from tamil nadu takes charge in andhra pradesh to solve the mysterious murder of a top police officer, and takes on local thugs and criminals during the course of his mission.",56,152,min
