,id,show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,score,duration_int,duration_type
985,hs986,s986,tv show,moesha,,,united states,2021-02-09,1996,tv-pg,6 Seasons,"black stories, comedy, sitcom","navigating the twists and firsts of being a teen, moesha juggles friendships, romance and the occasional drama while trying to keep her family together.",47,6,season
986,hs987,s987,tv show,"sister, sister",,,united states,2021-02-09,1994,tv-g,6 Seasons,"black stories, comedy, sitcom",tia landry and tamera campbell are twins separated at birth who learn of each other's existence and come together as teenagers.,11,6,season
987,hs988,s988,movie,harrow,,,"united states, australia",2021-02-08,2018,3 seasons,,"crime, drama, international","daniel harrow is a brilliant forensic pathologist who solves the cases others can't. when a secret from his past threatens his career and his family, he'll need all his wit and forensic genius to keep a crime buried forever.",99,,
988,hs989,s989,movie,beach rats,,,united states,2021-02-06,2018,r,98 min,"drama, lgbtq+","beach rats follows a teenage frankie (harris dickinson) on the outer edges of brooklyn as he struggles to reconcile his competing sexual desires, leaving him hurtling towards irreparable consequences.",58,98,min
989,hs990,s990,movie,antebellum,,,united states,2021-02-05,2020,r,106 min,"black stories, thriller","a successful author is plunged into a horrifying reality that forces her to confront her past, present, and future in this tense thriller from visionary filmmakers bush + renz, and the producer of get out and us.",87,106,min
990,hs991,s991,tv show,black stories presents: your attention please,,,,2021-02-05,2020,g,2 Seasons,"black stories, documentaries","hosted by craig robinson, this three-part series explores nine black voices who are part of the next generation of excellence. join us as we embark on this visual journey.",36,2,season
991,hs992,s992,movie,dear comrades!,,,russia,2021-02-05,2020,121 min,,"drama, history","when the communist government raises food prices in 1962, the rebellious workers from the small industrial town of novocherkassk go on strike. the massacre which then ensues is seen through the eyes of a devout party activist.",52,,
992,hs993,s993,movie,12 hour shift,,,united states,2021-02-04,2020,88 min,,"comedy, horror, thriller","it’s 1998, and over the course of one 12-hour shift at an arkansas hospital, a junkie nurse, her scheming cousin, and a group of black market organ-trading criminals start a heist that could lead to their collective demise.",64,,
993,hs994,s994,movie,kindred,,,united kingdom,2021-02-04,2020,101 min,,"horror, thriller",a chilling tale of one young woman slowly losing her grip on reality...or is she being brainwashed and psychologically tortured by her deceased boyfriend's family?,33,,
994,hs995,s995,tv show,modern family,,,united states,2021-02-04,2009,tv-14,11 Seasons,"comedy, family, sitcom","today's american families come in all shapes and sizes. the cookie cutter mold of man + wife + 2.5 kids is a thing of the past, as it becomes quickly apparent in the bird's eye view of abc's half-hour comedy, which takes an honest and often hilarious look at the composition and complexity of modern family life.",70,11,season
995,hs996,s996,tv show,our america: living while black,,,,2021-02-03,2020,g,1 Season,"black stories, documentaries",abc owned television stations present personal stories that go beyond the statistics to explore life in america as present-day challenges ignite change for a better future.,20,1,season
996,hs997,s997,movie,good morning america,,,united states,2021-02-02,1975,1 season,,news,"the emmy-winning morning news program featuring anchors george stephanopoulos, robin roberts, lara spencer, amy robach and ginger zee.",61,,
997,hs998,s998,movie,the school that tried to end racism,,,united kingdom,2021-02-02,2020,1 season,,documentaries,new series following a pioneering british school as it tries to help its students uncover and eradicate hidden racial biases.,29,,
998,hs999,s999,tv show,baldwin hills,,,united states,2021-02-01,2007,tv-14,3 Seasons,"black stories, drama, reality","bet’s reality docu-drama will explore the lives of 11 upper middle class african american teens as they grow up in baldwin hills, an upscale black neighborhood in los angeles where athletes, television and film stars, doctors and lawyers reside.",40,3,season
999,hs1000,s1000,tv show,being mary jane,,,united states,2021-02-01,2013,tv-14,5 Seasons,drama,"being mary jane is bet's first one-hour drama brought to us by the creator of ""girlfriends"" and ""the game."" the series focuses on the life of snc news anchor, mary jane paul. she seems to have it all, yet something is missing.",5,5,season
1000,hs1001,s1001,tv show,black ink crew,,,united states,2021-02-01,2013,tv-14,3 Seasons,reality,"in the heart of harlem, black ink is the only black-owned and operated tattoo parlor as well as one of the most famous in the country. black ink owner, and noted hardass, ceaser employs some close, and very vocal friends that make up the ""crew.""",8,3,season
